tx_hash,output_index,value,address,timestamp
63ed3c0871e04bd1d47449f6ff545269c007e84e737f7cc87d1dca950653984e,0,671465738,38XnPvu9PmonFU9WouPXUjYbW91wa5MerL,1679106340
63ed3c0871e04bd1d47449f6ff545269c007e84e737f7cc87d1dca950653984e,1,0,,1679106340
63ed3c0871e04bd1d47449f6ff545269c007e84e737f7cc87d1dca950653984e,2,0,,1679106340
701ef39da55256187ddc336e4b4187cca0fec96738dfa9b2cd93f62512e306d8,0,33300000,bc1qnj69z87hzr3h0707ag6mpuj94dl8nk6s37qyna,1679106340
701ef39da55256187ddc336e4b4187cca0fec96738dfa9b2cd93f62512e306d8,1,147646,3BATTVombSsWt4tF3cemNcT6Bfp6P95dee,1679106340
28851c6e0c9e27353464ae13da7a673bed76b6b7b54b589c80cddf75eadb66eb,0,15000000,bc1qz90t9mg6yfrtyyuf2pjfzptf5fmarc2sqetc9m,1679106340
28851c6e0c9e27353464ae13da7a673bed76b6b7b54b589c80cddf75eadb66eb,1,0,,1679106340
28851c6e0c9e27353464ae13da7a673bed76b6b7b54b589c80cddf75eadb66eb,2,6655152,bc1qj83zzef8rfuw3mqk2xhwy0l95t0cmpz5gk23hl,1679106340
f20955456dd7e9fd52bef2dcbe39cdaf014115c8808215dfd7a556794dfdf5be,0,8216908,1PpReCydChVtGH1X4sUwbnkqHp3QxwqNzm,1679106340
f20955456dd7e9fd52bef2dcbe39cdaf014115c8808215dfd7a556794dfdf5be,1,206258018,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1679106340
7dcc51a08d071ef2dd7cf5608321b22e238b5a1a8592d0b6b56f3484f76c6757,0,6938868,3PhqFQv24a5r8ywdtiMJ4qNpHZMsYGfS89,1679106340
7dcc51a08d071ef2dd7cf5608321b22e238b5a1a8592d0b6b56f3484f76c6757,1,249179,bc1q9m4z4lewfzdgruptd3tn6atuc45p269tech3p0,1679106340
2bdce9ce4305e277f7ca21a25e8c68944c94d47d0b69f88ab8cca2e31cfb00b9,0,10000,bc1qtsxpp777070a9397v3rq6vrw3z0dtd23lpr63m,1679106340
2bdce9ce4305e277f7ca21a25e8c68944c94d47d0b69f88ab8cca2e31cfb00b9,1,2404254,34nTUokbruLTvtYmAG7f21SqaBxX9qfTv7,1679106340
30406078203ea18cb27975cb65f022aad8a42cc3bef5a9d9241151ccdf10aeac,0,100000000,bc1q95jta9r37lrqlqnygw5lyrhw305putd809ml6q,1679106340
30406078203ea18cb27975cb65f022aad8a42cc3bef5a9d9241151ccdf10aeac,1,700512500,bc1q0dxvexaglg4hwlh6d5zmn9luh8z02uud8dsdnk,1679106340
74e01b989bfa405b5f7f24d4dc1d5737ca438d7ea295f798c60a98cab808caea,0,300000,bc1qqm5rcqej0v5l56r529swr5yxcyplvlrs008jjl,1679106340
74e01b989bfa405b5f7f24d4dc1d5737ca438d7ea295f798c60a98cab808caea,1,7612560,bc1qves8kgv30e2kw6x4hjh75kvpm9maetvl4tdh0w,1679106340
0fe53f90990f699bb7ad59b150b80cb651c8338a745474b3c070f5aaa805899e,0,37544661,bc1qgfacw5skxz0hp63vvagncg6hvmg8cc2fhqryn6,1679106340
